Country,Active_Status_Count,Active_Status_Relative
Brazil,3,0.0037974683544303796
China,223,0.28227848101265823
France,113,0.14303797468354432
Gran Canaria,2,0.002531645569620253
India,50,0.06329113924050633
Iran,9,0.01139240506329114
Israel,5,0.006329113924050633
Japan,38,0.04810126582278481
Kazakhstan,44,0.05569620253164557
New Mexico,4,0.005063291139240506
New Zealand,13,0.016455696202531647
North Korea,3,0.0037974683544303796
Pacific Missile Range Facility,1,0.0012658227848101266
Pacific Ocean,36,0.04556962025316456
Russia,36,0.04556962025316456
Shahrud Missile Test Site,1,0.0012658227848101266
USA,208,0.26329113924050634
Yellow Sea,1,0.0012658227848101266
