Country,Successful_Missions,Failed_Missions,Total_Missions,Successful_Missions_Relativ,Failed_Missions_Relativ,Total_Missions_Relativ
Australia,3.0,3.0,6,0.0007733952049497294,0.006741573033707865,0.0013876040703052729
Barents Sea,2.0,1.0,3,0.0005155968032998196,0.0022471910112359553,0.0006938020351526364
Brazil,0.0,3.0,3,0.0,0.006741573033707865,0.0006938020351526364
China,243.0,25.0,268,0.06264501160092807,0.056179775280898875,0.061979648473635525
France,285.0,18.0,303,0.07347254447022429,0.04044943820224719,0.07007400555041628
Gran Canaria,2.0,0.0,2,0.0005155968032998196,0.0,0.00046253469010175765
India,63.0,13.0,76,0.016241299303944315,0.029213483146067417,0.01757631822386679
Iran,4.0,9.0,13,0.0010311936065996391,0.020224719101123594,0.0030064754856614245
Israel,9.0,2.0,11,0.002320185614849188,0.0044943820224719105,0.002543940795559667
Japan,113.0,13.0,126,0.029131219386439804,0.029213483146067417,0.029139685476410732
Kazakhstan,608.0,93.0,701,0.15674142820314513,0.20898876404494382,0.16211840888066606
Kenya,9.0,0.0,9,0.002320185614849188,0.0,0.0020814061054579094
New Mexico,0.0,4.0,4,0.0,0.008988764044943821,0.0009250693802035153
New Zealand,11.0,2.0,13,0.0028357824181490074,0.0044943820224719105,0.0030064754856614245
North Korea,2.0,3.0,5,0.0005155968032998196,0.006741573033707865,0.001156336725254394
Pacific Missile Range Facility,0.0,1.0,1,0.0,0.0022471910112359553,0.00023126734505087883
Pacific Ocean,33.0,3.0,36,0.008507347254447023,0.006741573033707865,0.008325624421831638
Russia,1303.0,92.0,1395,0.33591131734983243,0.20674157303370785,0.32261794634597596
Shahrud Missile Test Site,1.0,0.0,1,0.0002577984016499098,0.0,0.00023126734505087883
South Korea,1.0,2.0,3,0.0002577984016499098,0.0044943820224719105,0.0006938020351526364
USA,1186.0,158.0,1344,0.30574890435679297,0.3550561797752809,0.3108233117483811
Yellow Sea,1.0,0.0,1,0.0002577984016499098,0.0,0.00023126734505087883
