Month,Successful_Missions,Failed_Missions,Total_Missions,Successful_Missions_Relativ,Failed_Missions_Relativ,Total_Missions_Relativ
Apr,344,39,383,0.08868265016756896,0.08764044943820225,0.08857539315448659
Aug,331,42,373,0.08533127094612013,0.09438202247191012,0.0862627197039778
Dec,404,46,450,0.10415055426656354,0.10337078651685393,0.10407030527289547
Feb,299,37,336,0.07708172209332302,0.08314606741573034,0.07770582793709528
Jan,241,27,268,0.062129414797628256,0.060674157303370786,0.061979648473635525
Jul,315,36,351,0.08120649651972157,0.08089887640449438,0.08117483811285846
Jun,356,46,402,0.09177623098736788,0.10337078651685393,0.09296947271045329
Mar,322,31,353,0.08301108533127094,0.0696629213483146,0.08163737280296023
May,295,31,326,0.07605052848672338,0.0696629213483146,0.0753931544865865
Nov,299,37,336,0.07708172209332302,0.08314606741573034,0.07770582793709528
Oct,346,35,381,0.08919824697086878,0.07865168539325842,0.08811285846438482
Sep,327,38,365,0.0843000773395205,0.0853932584269663,0.08441258094357076
