Organisation,Total_Spending,Spending_Relative
AEB,0.0,0.0
AMBA,0.0,0.0
ASI,0.0,0.0
Arianespace,16345.0,0.13269664920867497
Arm??e de l'Air,0.0,0.0
Blue Origin,0.0,0.0
Boeing,1241.0,0.010075040787272293
CASC,6340.26,0.05147331031580261
CASIC,0.0,0.0
CECLES,0.0,0.0
CNES,0.0,0.0
Douglas,0.0,0.0
EER,20.0,0.00016236971454105227
ESA,37.0,0.0003003839719009467
Eurockot,543.4,0.00441158514408039
ExPace,28.3,0.00022975314607558896
Exos,0.0,0.0
General Dynamics,0.0,0.0
IAI,0.0,0.0
ILS,1320.0,0.01071640115970945
IRGC,0.0,0.0
ISA,0.0,0.0
ISAS,0.0,0.0
ISRO,2177.0,0.01767394342779354
JAXA,168.0,0.001363905602144839
KARI,0.0,0.0
KCST,0.0,0.0
Khrunichev,0.0,0.0
Kosmotras,638.0,0.005179593893859568
Land Launch,0.0,0.0
Landspace,0.0,0.0
Lockheed,280.0,0.0022731760035747317
MHI,3532.5,0.028678550830813356
MITT,0.0,0.0
Martin Marietta,721.4,0.0058566756034957555
NASA,61200.0,0.4968513264956199
Northrop,3930.0,0.03190564890731677
OKB-586,0.0,0.0
OneSpace,0.0,0.0
RAE,0.0,0.0
RVSN USSR,0.0,0.0
Rocket Lab,97.5,0.0007915523583876298
Roscosmos,1187.5,0.009640701800874979
SRC,0.0,0.0
Sandia,15.0,0.0001217772859057892
Sea Launch,0.0,0.0
SpaceX,5444.0,0.04419703629807443
Starsem,0.0,0.0
ULA,14798.0,0.12013735178892457
US Air Force,1550.92,0.01259112188380044
US Navy,0.0,0.0
UT,0.0,0.0
VKS RF,1548.8999999999999,0.012574722542631792
Virgin Orbit,12.0,9.742182872463136e-05
Yuzhmash,0.0,0.0
i-Space,0.0,0.0
